time,"Appennino emiliano, area Monte Cimone_NORD",Crinale savonese entroterra ligure_NORD,"Piemonte sud-occidentale , Cuneese_NORD","Valle d’Aosta , area alpina_NORD","Veneto orientale , Delta del Po_NORD","Basilicata, area Melfi,Potenza_SUD","Calabria, area Crotone,Catanzaro_SUD","Campania, area Benevento,Avellino_SUD","Puglia, area Foggia,Daunia_SUD","Sicilia occidentale, area Trapani_SUD"
2019-01-01 00:00:00,0.12,0.149,0.034,0.034,0.034,0.617,0.861,0.665,0.66,0.608
2019-01-01 01:00:00,0.109,0.122,0.034,0.034,0.034,0.595,0.883,0.63,0.656,0.693
2019-01-01 02:00:00,0.096,0.098,0.033,0.033,0.033,0.611,0.881,0.601,0.67,0.787
2019-01-01 03:00:00,0.086,0.087,0.033,0.033,0.033,0.608,0.877,0.589,0.673,0.848
2019-01-01 04:00:00,0.08,0.085,0.033,0.033,0.033,0.62,0.875,0.603,0.677,0.855
2019-01-01 05:00:00,0.073,0.078,0.029,0.029,0.029,0.61,0.87,0.618,0.668,0.85
2019-01-01 06:00:00,0.065,0.066,0.024,0.024,0.024,0.599,0.873,0.61,0.651,0.831
2019-01-01 07:00:00,0.052,0.047,0.021,0.021,0.021,0.508,0.865,0.541,0.562,0.79
2019-01-01 08:00:00,0.02,0.017,0.015,0.015,0.015,0.453,0.848,0.517,0.467,0.736
2019-01-01 09:00:00,0.007,0.008,0.005,0.005,0.005,0.564,0.838,0.621,0.471,0.707
2019-01-01 10:00:00,0.001,0.005,0.002,0.002,0.002,0.505,0.818,0.563,0.399,0.679
2019-01-01 11:00:00,0.001,0.002,0.003,0.003,0.003,0.442,0.803,0.478,0.353,0.633
2019-01-01 12:00:00,0.003,0.001,0.004,0.004,0.004,0.4,0.801,0.404,0.345,0.582
2019-01-01 13:00:00,0.007,0.001,0.004,0.004,0.004,0.37,0.798,0.34,0.341,0.542
2019-01-01 14:00:00,0.012,0.001,0.004,0.004,0.004,0.303,0.818,0.262,0.322,0.515
2019-01-01 15:00:00,0.019,0.011,0.01,0.01,0.01,0.265,0.807,0.212,0.335,0.486
2019-01-01 16:00:00,0.036,0.039,0.019,0.019,0.019,0.219,0.784,0.151,0.335,0.438
2019-01-01 17:00:00,0.061,0.064,0.028,0.028,0.028,0.191,0.739,0.096,0.329,0.37
2019-01-01 18:00:00,0.083,0.065,0.021,0.021,0.021,0.183,0.688,0.058,0.336,0.306
2019-01-01 19:00:00,0.102,0.051,0.015,0.015,0.015,0.185,0.651,0.04,0.348,0.249
2019-01-01 20:00:00,0.121,0.037,0.014,0.014,0.014,0.204,0.632,0.03,0.35,0.211
2019-01-01 21:00:00,0.154,0.038,0.021,0.021,0.021,0.22,0.619,0.02,0.353,0.203
2019-01-01 22:00:00,0.175,0.041,0.03,0.03,0.03,0.233,0.605,0.012,0.346,0.197
2019-01-01 23:00:00,0.22,0.043,0.027,0.027,0.027,0.25,0.549,0.008,0.345,0.175
2019-01-02 00:00:00,0.259,0.047,0.021,0.021,0.021,0.274,0.48,0.009,0.349,0.145
2019-01-02 01:00:00,0.247,0.054,0.019,0.019,0.019,0.313,0.435,0.02,0.368,0.12
2019-01-02 02:00:00,0.246,0.078,0.024,0.024,0.024,0.36,0.408,0.039,0.382,0.118
2019-01-02 03:00:00,0.242,0.132,0.035,0.035,0.035,0.367,0.356,0.051,0.343,0.128
2019-01-02 04:00:00,0.269,0.221,0.051,0.051,0.051,0.36,0.29,0.055,0.302,0.154
2019-01-02 05:00:00,0.329,0.369,0.084,0.084,0.084,0.36,0.234,0.047,0.275,0.227
2019-01-02 06:00:00,0.35,0.515,0.158,0.158,0.158,0.356,0.187,0.028,0.253,0.329
2019-01-02 07:00:00,0.341,0.653,0.27,0.27,0.27,0.27,0.134,0.016,0.197,0.425
2019-01-02 08:00:00,0.244,0.653,0.268,0.268,0.268,0.108,0.101,0.008,0.118,0.477
2019-01-02 09:00:00,0.236,0.635,0.186,0.186,0.186,0.11,0.103,0.031,0.211,0.502
2019-01-02 10:00:00,0.376,0.645,0.123,0.123,0.123,0.137,0.11,0.086,0.385,0.541
2019-01-02 11:00:00,0.543,0.675,0.141,0.141,0.141,0.251,0.104,0.187,0.597,0.568
2019-01-02 12:00:00,0.617,0.666,0.163,0.163,0.163,0.397,0.087,0.311,0.698,0.594
2019-01-02 13:00:00,0.631,0.648,0.144,0.144,0.144,0.497,0.071,0.446,0.703,0.584
2019-01-02 14:00:00,0.615,0.647,0.132,0.132,0.132,0.496,0.075,0.537,0.703,0.535
2019-01-02 15:00:00,0.639,0.658,0.122,0.122,0.122,0.564,0.11,0.627,0.637,0.551
2019-01-02 16:00:00,0.592,0.651,0.104,0.104,0.104,0.629,0.146,0.603,0.536,0.625
2019-01-02 17:00:00,0.486,0.702,0.114,0.114,0.114,0.47,0.183,0.56,0.503,0.723
2019-01-02 18:00:00,0.444,0.726,0.117,0.117,0.117,0.444,0.293,0.605,0.686,0.824
2019-01-02 19:00:00,0.414,0.703,0.14,0.14,0.14,0.581,0.602,0.739,0.783,0.908
2019-01-02 20:00:00,0.316,0.695,0.175,0.175,0.175,0.612,0.899,0.764,0.766,0.946
2019-01-02 21:00:00,0.419,0.717,0.21,0.21,0.21,0.625,0.962,0.777,0.742,0.957
2019-01-02 22:00:00,0.45,0.703,0.218,0.218,0.218,0.632,0.969,0.775,0.761,0.952
2019-01-02 23:00:00,0.389,0.668,0.193,0.193,0.193,0.684,0.969,0.769,0.779,0.94
2019-01-03 00:00:00,0.353,0.619,0.157,0.157,0.157,0.659,0.969,0.767,0.783,0.923
2019-01-03 01:00:00,0.346,0.551,0.121,0.121,0.121,0.667,0.969,0.781,0.79,0.909
2019-01-03 02:00:00,0.297,0.456,0.082,0.082,0.082,0.747,0.968,0.816,0.82,0.915
2019-01-03 03:00:00,0.239,0.373,0.055,0.055,0.055,0.672,0.969,0.818,0.841,0.92
2019-01-03 04:00:00,0.203,0.331,0.044,0.044,0.044,0.656,0.968,0.819,0.882,0.907
2019-01-03 05:00:00,0.176,0.309,0.042,0.042,0.042,0.711,0.958,0.825,0.904,0.887
2019-01-03 06:00:00,0.132,0.292,0.037,0.037,0.037,0.723,0.946,0.84,0.902,0.867
2019-01-03 07:00:00,0.08,0.265,0.029,0.029,0.029,0.779,0.942,0.848,0.893,0.836
2019-01-03 08:00:00,0.035,0.191,0.018,0.018,0.018,0.857,0.949,0.891,0.904,0.817
2019-01-03 09:00:00,0.067,0.143,0.006,0.006,0.006,0.873,0.953,0.907,0.895,0.812
2019-01-03 10:00:00,0.098,0.153,0.01,0.01,0.01,0.841,0.96,0.899,0.881,0.806
2019-01-03 11:00:00,0.097,0.137,0.012,0.012,0.012,0.836,0.966,0.891,0.886,0.791
2019-01-03 12:00:00,0.099,0.13,0.013,0.013,0.013,0.851,0.969,0.883,0.9,0.771
2019-01-03 13:00:00,0.101,0.117,0.01,0.01,0.01,0.858,0.969,0.871,0.909,0.751
2019-01-03 14:00:00,0.088,0.1,0.004,0.004,0.004,0.808,0.967,0.81,0.894,0.731
2019-01-03 15:00:00,0.081,0.113,0.002,0.002,0.002,0.737,0.96,0.737,0.869,0.713
2019-01-03 16:00:00,0.075,0.152,0.001,0.001,0.001,0.7,0.95,0.728,0.866,0.717
2019-01-03 17:00:00,0.064,0.209,0.004,0.004,0.004,0.676,0.935,0.746,0.862,0.711
2019-01-03 18:00:00,0.048,0.273,0.015,0.015,0.015,0.675,0.912,0.775,0.866,0.707
2019-01-03 19:00:00,0.037,0.294,0.019,0.019,0.019,0.675,0.889,0.777,0.849,0.703
2019-01-03 20:00:00,0.032,0.289,0.012,0.012,0.012,0.64,0.878,0.712,0.789,0.698
2019-01-03 21:00:00,0.028,0.263,0.01,0.01,0.01,0.498,0.898,0.61,0.727,0.712
2019-01-03 22:00:00,0.021,0.218,0.014,0.014,0.014,0.455,0.919,0.544,0.747,0.743
2019-01-03 23:00:00,0.017,0.168,0.016,0.016,0.016,0.512,0.931,0.42,0.708,0.768
2019-01-04 00:00:00,0.016,0.137,0.017,0.017,0.017,0.529,0.928,0.284,0.664,0.772
2019-01-04 01:00:00,0.018,0.133,0.013,0.013,0.013,0.426,0.925,0.227,0.662,0.742
2019-01-04 02:00:00,0.033,0.133,0.015,0.015,0.015,0.42,0.924,0.284,0.758,0.678
2019-01-04 03:00:00,0.041,0.125,0.019,0.019,0.019,0.543,0.926,0.545,0.82,0.579
2019-01-04 04:00:00,0.048,0.123,0.025,0.025,0.025,0.617,0.919,0.671,0.83,0.457
2019-01-04 05:00:00,0.052,0.133,0.033,0.033,0.033,0.666,0.909,0.741,0.833,0.351
2019-01-04 06:00:00,0.048,0.146,0.04,0.04,0.04,0.679,0.892,0.756,0.81,0.274
2019-01-04 07:00:00,0.038,0.146,0.045,0.045,0.045,0.668,0.887,0.705,0.797,0.236
2019-01-04 08:00:00,0.021,0.112,0.043,0.043,0.043,0.724,0.874,0.744,0.807,0.239
2019-01-04 09:00:00,0.031,0.098,0.033,0.033,0.033,0.776,0.857,0.788,0.812,0.311
2019-01-04 10:00:00,0.056,0.116,0.045,0.045,0.045,0.746,0.853,0.773,0.781,0.43
2019-01-04 11:00:00,0.075,0.136,0.069,0.069,0.069,0.72,0.857,0.746,0.755,0.527
2019-01-04 12:00:00,0.096,0.139,0.065,0.065,0.065,0.702,0.863,0.721,0.739,0.558
2019-01-04 13:00:00,0.079,0.113,0.034,0.034,0.034,0.661,0.871,0.674,0.711,0.531
2019-01-04 14:00:00,0.034,0.081,0.007,0.007,0.007,0.513,0.874,0.545,0.64,0.475
2019-01-04 15:00:00,0.011,0.062,0.003,0.003,0.003,0.442,0.858,0.465,0.589,0.426
2019-01-04 16:00:00,0.014,0.044,0.006,0.006,0.006,0.439,0.845,0.439,0.563,0.379
2019-01-04 17:00:00,0.014,0.021,0.005,0.005,0.005,0.417,0.831,0.399,0.538,0.331
2019-01-04 18:00:00,0.011,0.008,0.003,0.003,0.003,0.397,0.818,0.387,0.541,0.308
2019-01-04 19:00:00,0.006,0.004,0.002,0.002,0.002,0.387,0.801,0.42,0.568,0.317
2019-01-04 20:00:00,0.014,0.005,0.004,0.004,0.004,0.394,0.791,0.428,0.565,0.367
2019-01-04 21:00:00,0.036,0.011,0.007,0.007,0.007,0.405,0.795,0.434,0.553,0.439
2019-01-04 22:00:00,0.056,0.015,0.008,0.008,0.008,0.421,0.8,0.44,0.551,0.527
2019-01-04 23:00:00,0.07,0.015,0.008,0.008,0.008,0.406,0.809,0.446,0.55,0.601
2019-01-05 00:00:00,0.065,0.014,0.006,0.006,0.006,0.406,0.816,0.441,0.543,0.636
2019-01-05 01:00:00,0.05,0.016,0.006,0.006,0.006,0.439,0.82,0.465,0.569,0.66
2019-01-05 02:00:00,0.039,0.021,0.009,0.009,0.009,0.449,0.822,0.465,0.602,0.672
2019-01-05 03:00:00,0.024,0.02,0.009,0.009,0.009,0.444,0.816,0.472,0.617,0.699
2019-01-05 04:00:00,0.015,0.015,0.009,0.009,0.009,0.431,0.809,0.442,0.611,0.731
2019-01-05 05:00:00,0.013,0.018,0.016,0.016,0.016,0.423,0.805,0.351,0.58,0.751
2019-01-05 06:00:00,0.009,0.027,0.024,0.024,0.024,0.393,0.797,0.258,0.527,0.749
2019-01-05 07:00:00,0.014,0.036,0.027,0.027,0.027,0.322,0.781,0.218,0.434,0.702
2019-01-05 08:00:00,0.013,0.047,0.034,0.034,0.034,0.293,0.779,0.232,0.349,0.617
2019-01-05 09:00:00,0.009,0.041,0.034,0.034,0.034,0.449,0.769,0.293,0.414,0.562
2019-01-05 10:00:00,0.026,0.03,0.02,0.02,0.02,0.468,0.763,0.289,0.423,0.52
2019-01-05 11:00:00,0.055,0.024,0.015,0.015,0.015,0.457,0.752,0.26,0.433,0.505
2019-01-05 12:00:00,0.077,0.025,0.016,0.016,0.016,0.433,0.731,0.208,0.425,0.501
2019-01-05 13:00:00,0.093,0.039,0.021,0.021,0.021,0.323,0.704,0.114,0.352,0.507
2019-01-05 14:00:00,0.149,0.063,0.044,0.044,0.044,0.218,0.681,0.055,0.301,0.511
2019-01-05 15:00:00,0.248,0.1,0.074,0.074,0.074,0.186,0.713,0.042,0.309,0.506
2019-01-05 16:00:00,0.258,0.127,0.102,0.102,0.102,0.16,0.728,0.049,0.297,0.466
2019-01-05 17:00:00,0.183,0.175,0.157,0.157,0.157,0.182,0.708,0.065,0.302,0.404
2019-01-05 18:00:00,0.118,0.259,0.205,0.205,0.205,0.214,0.67,0.077,0.317,0.35
2019-01-05 19:00:00,0.101,0.344,0.228,0.228,0.228,0.239,0.627,0.069,0.339,0.309
2019-01-05 20:00:00,0.099,0.406,0.243,0.243,0.243,0.25,0.589,0.049,0.348,0.301
2019-01-05 21:00:00,0.104,0.418,0.234,0.234,0.234,0.266,0.576,0.042,0.371,0.304
2019-01-05 22:00:00,0.121,0.432,0.204,0.204,0.204,0.298,0.574,0.038,0.406,0.325
2019-01-05 23:00:00,0.139,0.423,0.183,0.183,0.183,0.34,0.572,0.05,0.479,0.374
2019-01-06 00:00:00,0.156,0.409,0.154,0.154,0.154,0.382,0.572,0.081,0.553,0.409
2019-01-06 01:00:00,0.17,0.393,0.128,0.128,0.128,0.423,0.59,0.107,0.6,0.418
2019-01-06 02:00:00,0.183,0.368,0.11,0.11,0.11,0.48,0.615,0.119,0.598,0.409
2019-01-06 03:00:00,0.192,0.343,0.1,0.1,0.1,0.485,0.639,0.158,0.615,0.385
2019-01-06 04:00:00,0.179,0.304,0.08,0.08,0.08,0.485,0.661,0.209,0.624,0.353
2019-01-06 05:00:00,0.16,0.27,0.057,0.057,0.057,0.487,0.697,0.222,0.612,0.31
2019-01-06 06:00:00,0.141,0.267,0.046,0.046,0.046,0.476,0.705,0.203,0.552,0.261
2019-01-06 07:00:00,0.12,0.29,0.052,0.052,0.052,0.354,0.702,0.138,0.409,0.197
2019-01-06 08:00:00,0.083,0.287,0.06,0.06,0.06,0.165,0.765,0.044,0.212,0.134
2019-01-06 09:00:00,0.035,0.232,0.036,0.036,0.036,0.222,0.844,0.034,0.189,0.105
2019-01-06 10:00:00,0.031,0.174,0.019,0.019,0.019,0.196,0.867,0.028,0.173,0.107
2019-01-06 11:00:00,0.047,0.146,0.025,0.025,0.025,0.167,0.858,0.039,0.189,0.113
2019-01-06 12:00:00,0.046,0.127,0.029,0.029,0.029,0.187,0.809,0.089,0.269,0.108
2019-01-06 13:00:00,0.044,0.114,0.026,0.026,0.026,0.217,0.705,0.118,0.289,0.094
2019-01-06 14:00:00,0.054,0.115,0.024,0.024,0.024,0.203,0.56,0.114,0.297,0.073
2019-01-06 15:00:00,0.054,0.126,0.021,0.021,0.021,0.202,0.444,0.1,0.34,0.049
2019-01-06 16:00:00,0.061,0.145,0.021,0.021,0.021,0.222,0.437,0.1,0.356,0.024
2019-01-06 17:00:00,0.062,0.175,0.028,0.028,0.028,0.274,0.532,0.122,0.394,0.012
2019-01-06 18:00:00,0.058,0.215,0.039,0.039,0.039,0.304,0.6,0.191,0.482,0.007
2019-01-06 19:00:00,0.055,0.241,0.041,0.041,0.041,0.374,0.619,0.255,0.527,0.005
2019-01-06 20:00:00,0.045,0.25,0.03,0.03,0.03,0.404,0.682,0.325,0.536,0.006
2019-01-06 21:00:00,0.046,0.24,0.017,0.017,0.017,0.438,0.753,0.385,0.518,0.008
2019-01-06 22:00:00,0.051,0.229,0.009,0.009,0.009,0.406,0.788,0.404,0.484,0.013
2019-01-06 23:00:00,0.049,0.24,0.006,0.006,0.006,0.339,0.835,0.399,0.461,0.02
2019-01-07 00:00:00,0.044,0.243,0.009,0.009,0.009,0.302,0.858,0.39,0.425,0.029
2019-01-07 01:00:00,0.044,0.238,0.013,0.013,0.013,0.271,0.869,0.359,0.404,0.044
2019-01-07 02:00:00,0.053,0.227,0.019,0.019,0.019,0.25,0.867,0.34,0.461,0.071
2019-01-07 03:00:00,0.06,0.224,0.027,0.027,0.027,0.242,0.861,0.334,0.551,0.091
2019-01-07 04:00:00,0.055,0.224,0.033,0.033,0.033,0.272,0.854,0.322,0.617,0.098
2019-01-07 05:00:00,0.052,0.212,0.034,0.034,0.034,0.438,0.838,0.326,0.661,0.097
2019-01-07 06:00:00,0.053,0.194,0.03,0.03,0.03,0.518,0.813,0.353,0.648,0.085
2019-01-07 07:00:00,0.059,0.179,0.029,0.029,0.029,0.353,0.778,0.277,0.51,0.061
2019-01-07 08:00:00,0.057,0.144,0.031,0.031,0.031,0.334,0.803,0.406,0.437,0.027
2019-01-07 09:00:00,0.063,0.085,0.022,0.022,0.022,0.506,0.88,0.556,0.515,0.019
2019-01-07 10:00:00,0.09,0.068,0.021,0.021,0.021,0.549,0.932,0.574,0.527,0.029
2019-01-07 11:00:00,0.069,0.046,0.019,0.019,0.019,0.578,0.95,0.567,0.546,0.064
2019-01-07 12:00:00,0.04,0.031,0.013,0.013,0.013,0.59,0.948,0.544,0.555,0.115
2019-01-07 13:00:00,0.021,0.02,0.006,0.006,0.006,0.567,0.934,0.5,0.531,0.158
2019-01-07 14:00:00,0.019,0.012,0.001,0.001,0.001,0.473,0.904,0.416,0.455,0.185
2019-01-07 15:00:00,0.022,0.006,0.0,0.0,0.0,0.449,0.871,0.404,0.446,0.202
2019-01-07 16:00:00,0.029,0.004,0.0,0.0,0.0,0.435,0.857,0.369,0.435,0.193
2019-01-07 17:00:00,0.034,0.004,0.001,0.001,0.001,0.387,0.851,0.34,0.398,0.172
2019-01-07 18:00:00,0.037,0.005,0.003,0.003,0.003,0.329,0.851,0.312,0.347,0.143
2019-01-07 19:00:00,0.038,0.009,0.005,0.005,0.005,0.261,0.847,0.272,0.281,0.107
2019-01-07 20:00:00,0.033,0.01,0.005,0.005,0.005,0.19,0.843,0.229,0.209,0.069
2019-01-07 21:00:00,0.021,0.01,0.005,0.005,0.005,0.141,0.83,0.203,0.162,0.045
2019-01-07 22:00:00,0.013,0.011,0.004,0.004,0.004,0.105,0.81,0.18,0.122,0.033
2019-01-07 23:00:00,0.011,0.01,0.005,0.005,0.005,0.057,0.793,0.153,0.079,0.02
2019-01-08 00:00:00,0.013,0.011,0.008,0.008,0.008,0.025,0.779,0.124,0.04,0.009
2019-01-08 01:00:00,0.02,0.015,0.011,0.011,0.011,0.007,0.749,0.083,0.013,0.002
2019-01-08 02:00:00,0.04,0.015,0.013,0.013,0.013,0.001,0.703,0.038,0.002,0.0
2019-01-08 03:00:00,0.057,0.012,0.015,0.015,0.015,0.002,0.668,0.01,0.001,0.0
2019-01-08 04:00:00,0.061,0.007,0.019,0.019,0.019,0.008,0.636,0.003,0.006,0.002
2019-01-08 05:00:00,0.081,0.01,0.022,0.022,0.022,0.026,0.602,0.002,0.043,0.007
2019-01-08 06:00:00,0.103,0.012,0.024,0.024,0.024,0.066,0.553,0.006,0.126,0.022
2019-01-08 07:00:00,0.117,0.017,0.03,0.03,0.03,0.088,0.451,0.02,0.155,0.051
2019-01-08 08:00:00,0.132,0.034,0.031,0.031,0.031,0.065,0.358,0.039,0.1,0.089
2019-01-08 09:00:00,0.13,0.054,0.024,0.024,0.024,0.133,0.283,0.128,0.131,0.151
2019-01-08 10:00:00,0.135,0.066,0.016,0.016,0.016,0.272,0.229,0.236,0.234,0.21
2019-01-08 11:00:00,0.149,0.079,0.026,0.026,0.026,0.397,0.183,0.332,0.367,0.243
2019-01-08 12:00:00,0.195,0.082,0.043,0.043,0.043,0.495,0.139,0.396,0.493,0.259
2019-01-08 13:00:00,0.223,0.073,0.073,0.073,0.073,0.517,0.106,0.388,0.536,0.274
2019-01-08 14:00:00,0.196,0.067,0.122,0.122,0.122,0.464,0.102,0.376,0.476,0.293
2019-01-08 15:00:00,0.19,0.049,0.151,0.151,0.151,0.535,0.16,0.375,0.477,0.331
2019-01-08 16:00:00,0.144,0.026,0.209,0.209,0.209,0.568,0.22,0.359,0.466,0.394
2019-01-08 17:00:00,0.092,0.039,0.276,0.276,0.276,0.533,0.252,0.311,0.434,0.49
2019-01-08 18:00:00,0.075,0.131,0.318,0.318,0.318,0.544,0.285,0.283,0.406,0.592
2019-01-08 19:00:00,0.091,0.22,0.313,0.313,0.313,0.516,0.353,0.246,0.378,0.689
2019-01-08 20:00:00,0.098,0.257,0.307,0.307,0.307,0.49,0.419,0.221,0.36,0.782
2019-01-08 21:00:00,0.116,0.291,0.314,0.314,0.314,0.465,0.466,0.215,0.354,0.839
2019-01-08 22:00:00,0.127,0.325,0.302,0.302,0.302,0.415,0.501,0.203,0.344,0.857
2019-01-08 23:00:00,0.139,0.343,0.289,0.289,0.289,0.339,0.516,0.187,0.301,0.875
2019-01-09 00:00:00,0.164,0.371,0.281,0.281,0.281,0.286,0.522,0.165,0.243,0.89
2019-01-09 01:00:00,0.22,0.423,0.279,0.279,0.279,0.251,0.525,0.129,0.187,0.904
2019-01-09 02:00:00,0.301,0.464,0.264,0.264,0.264,0.17,0.535,0.073,0.124,0.921
2019-01-09 03:00:00,0.355,0.482,0.26,0.26,0.26,0.083,0.549,0.035,0.068,0.935
2019-01-09 04:00:00,0.361,0.497,0.257,0.257,0.257,0.022,0.569,0.011,0.046,0.945
2019-01-09 05:00:00,0.382,0.5,0.25,0.25,0.25,0.005,0.644,0.007,0.098,0.954
2019-01-09 06:00:00,0.404,0.501,0.248,0.248,0.248,0.017,0.702,0.034,0.205,0.957
2019-01-09 07:00:00,0.369,0.496,0.254,0.254,0.254,0.052,0.725,0.09,0.236,0.954
2019-01-09 08:00:00,0.214,0.446,0.234,0.234,0.234,0.073,0.744,0.14,0.234,0.945
2019-01-09 09:00:00,0.179,0.388,0.206,0.206,0.206,0.133,0.738,0.253,0.34,0.931
2019-01-09 10:00:00,0.391,0.452,0.29,0.29,0.29,0.276,0.74,0.415,0.431,0.916
2019-01-09 11:00:00,0.422,0.545,0.379,0.379,0.379,0.366,0.673,0.457,0.452,0.899
2019-01-09 12:00:00,0.318,0.586,0.419,0.419,0.419,0.397,0.577,0.461,0.45,0.875
2019-01-09 13:00:00,0.247,0.562,0.37,0.37,0.37,0.414,0.484,0.447,0.444,0.845
2019-01-09 14:00:00,0.256,0.547,0.289,0.289,0.289,0.34,0.418,0.337,0.404,0.818
2019-01-09 15:00:00,0.287,0.645,0.289,0.289,0.289,0.279,0.373,0.268,0.382,0.799
2019-01-09 16:00:00,0.236,0.728,0.354,0.354,0.354,0.218,0.358,0.246,0.393,0.788
2019-01-09 17:00:00,0.231,0.75,0.413,0.413,0.413,0.188,0.421,0.238,0.42,0.786
2019-01-09 18:00:00,0.239,0.764,0.447,0.447,0.447,0.213,0.465,0.224,0.461,0.797
2019-01-09 19:00:00,0.247,0.778,0.446,0.446,0.446,0.218,0.372,0.232,0.49,0.83
2019-01-09 20:00:00,0.224,0.773,0.439,0.439,0.439,0.211,0.243,0.268,0.494,0.867
2019-01-09 21:00:00,0.224,0.772,0.459,0.459,0.459,0.179,0.146,0.315,0.503,0.907
2019-01-09 22:00:00,0.23,0.765,0.467,0.467,0.467,0.215,0.071,0.391,0.517,0.937
2019-01-09 23:00:00,0.225,0.741,0.458,0.458,0.458,0.319,0.018,0.458,0.519,0.949
2019-01-10 00:00:00,0.205,0.705,0.413,0.413,0.413,0.294,0.003,0.457,0.465,0.952
2019-01-10 01:00:00,0.179,0.656,0.352,0.352,0.352,0.323,0.004,0.493,0.474,0.944
2019-01-10 02:00:00,0.164,0.582,0.297,0.297,0.297,0.347,0.014,0.542,0.516,0.916
2019-01-10 03:00:00,0.155,0.527,0.26,0.26,0.26,0.393,0.04,0.541,0.535,0.889
2019-01-10 04:00:00,0.158,0.499,0.235,0.235,0.235,0.389,0.183,0.507,0.559,0.861
2019-01-10 05:00:00,0.168,0.478,0.213,0.213,0.213,0.476,0.426,0.543,0.615,0.817
2019-01-10 06:00:00,0.185,0.463,0.196,0.196,0.196,0.541,0.584,0.618,0.668,0.77
2019-01-10 07:00:00,0.189,0.442,0.182,0.182,0.182,0.43,0.602,0.603,0.644,0.698
2019-01-10 08:00:00,0.16,0.389,0.149,0.149,0.149,0.39,0.582,0.56,0.561,0.612
2019-01-10 09:00:00,0.118,0.325,0.11,0.11,0.11,0.372,0.54,0.614,0.524,0.551
2019-01-10 10:00:00,0.189,0.356,0.145,0.145,0.145,0.526,0.482,0.645,0.613,0.513
2019-01-10 11:00:00,0.22,0.377,0.188,0.188,0.188,0.619,0.492,0.577,0.681,0.486
2019-01-10 12:00:00,0.218,0.356,0.181,0.181,0.181,0.625,0.611,0.5,0.699,0.474
2019-01-10 13:00:00,0.183,0.316,0.145,0.145,0.145,0.594,0.667,0.427,0.687,0.459
2019-01-10 14:00:00,0.137,0.301,0.11,0.11,0.11,0.504,0.572,0.357,0.635,0.453
2019-01-10 15:00:00,0.113,0.326,0.095,0.095,0.095,0.453,0.449,0.332,0.598,0.477
2019-01-10 16:00:00,0.089,0.374,0.095,0.095,0.095,0.464,0.379,0.327,0.574,0.514
2019-01-10 17:00:00,0.072,0.419,0.098,0.098,0.098,0.424,0.315,0.314,0.531,0.534
2019-01-10 18:00:00,0.052,0.404,0.096,0.096,0.096,0.325,0.23,0.309,0.463,0.537
2019-01-10 19:00:00,0.04,0.386,0.082,0.082,0.082,0.244,0.157,0.327,0.389,0.514
2019-01-10 20:00:00,0.029,0.364,0.081,0.081,0.081,0.185,0.095,0.325,0.323,0.473
2019-01-10 21:00:00,0.029,0.348,0.101,0.101,0.101,0.14,0.061,0.307,0.272,0.405
2019-01-10 22:00:00,0.033,0.34,0.139,0.139,0.139,0.118,0.045,0.27,0.242,0.322
2019-01-10 23:00:00,0.035,0.292,0.125,0.125,0.125,0.126,0.036,0.248,0.234,0.246
2019-01-11 00:00:00,0.036,0.239,0.107,0.107,0.107,0.151,0.03,0.26,0.248,0.181
2019-01-11 01:00:00,0.034,0.181,0.078,0.078,0.078,0.168,0.033,0.248,0.263,0.138
2019-01-11 02:00:00,0.034,0.158,0.065,0.065,0.065,0.183,0.04,0.26,0.284,0.118
2019-01-11 03:00:00,0.029,0.145,0.056,0.056,0.056,0.176,0.045,0.238,0.294,0.113
2019-01-11 04:00:00,0.024,0.127,0.05,0.05,0.05,0.173,0.047,0.247,0.287,0.114
2019-01-11 05:00:00,0.02,0.112,0.045,0.045,0.045,0.158,0.053,0.264,0.272,0.112
2019-01-11 06:00:00,0.016,0.102,0.041,0.041,0.041,0.14,0.061,0.25,0.238,0.108
2019-01-11 07:00:00,0.026,0.093,0.037,0.037,0.037,0.102,0.068,0.197,0.191,0.101
2019-01-11 08:00:00,0.028,0.064,0.029,0.029,0.029,0.09,0.054,0.145,0.132,0.083
2019-01-11 09:00:00,0.062,0.048,0.025,0.025,0.025,0.117,0.044,0.189,0.143,0.078
2019-01-11 10:00:00,0.063,0.046,0.032,0.032,0.032,0.109,0.046,0.188,0.154,0.083
2019-01-11 11:00:00,0.038,0.055,0.03,0.03,0.03,0.121,0.063,0.185,0.171,0.096
2019-01-11 12:00:00,0.028,0.071,0.028,0.028,0.028,0.147,0.09,0.2,0.194,0.117
2019-01-11 13:00:00,0.025,0.085,0.025,0.025,0.025,0.175,0.121,0.218,0.215,0.155
2019-01-11 14:00:00,0.032,0.09,0.013,0.013,0.013,0.187,0.165,0.215,0.229,0.204
2019-01-11 15:00:00,0.035,0.095,0.005,0.005,0.005,0.264,0.241,0.264,0.293,0.25
2019-01-11 16:00:00,0.027,0.098,0.007,0.007,0.007,0.311,0.335,0.316,0.321,0.284
2019-01-11 17:00:00,0.019,0.105,0.016,0.016,0.016,0.317,0.436,0.345,0.319,0.314
2019-01-11 18:00:00,0.013,0.103,0.023,0.023,0.023,0.315,0.543,0.353,0.312,0.332
2019-01-11 19:00:00,0.011,0.09,0.025,0.025,0.025,0.31,0.65,0.349,0.3,0.34
